name,birth_place
Raoul Peck,"Port-au-Prince, Haiti"
Gabriela Pichler,NaN
J. J. Abrams,NaN
Xavier Beauvois,"Auchel, Pas-de-Calais, France"
Philip Gröning,"Düsseldorf, West Germany"
Benh Zeitlin,"Manhattan, New York, USA"
Mike Judge,"Guayaquil, Ecuador"
Tony Gilroy,"Manhattan, New York City, New York, USA"
Gerhard Benedikt Friedl,"Bad Aussee, Styria, Austria"
Valeska Grisebach,"Bremen, West Germany [now Germany]"
David O'Reilly,NaN
Maren Ade,"Karlsruhe, Baden-Württemberg, Germany"
Norbert Pfaffenbichler,NaN
George Clooney,"Lexington, Kentucky, USA"
Philip Kaufman,"Chicago, Illinois, USA"
Wayne Blair,"Taree, New South Wales, Australia"
Scandar Copti and Yaron Shani,NaN
Scandar Copti and Yaron Shani,NaN
Shimit Amin,NaN
Jean-Pierre Jeunet,"Roanne, Loire, Rhône-Alpes, France"
James Cameron,"Kapuskasing, Ontario, Canada"
Paolo Sorrentino,"Naples, Campania, Italy"
Mia Hansen-Løve,"Paris, France"
Terry Zwigoff,"Appleton, Wisconsin, USA"
Kelly Reichardt,NaN
Arnaud Desplechin,"Roubaix, Nord, France"
Olivier Assayas,"Paris, France"
Víctor Gaviria,"Medellin, Colombia"
Philippe Garrel,"Paris, France"
Jean-Charles Fitoussi,"Tours, France"
Christian Petzold,"Hilden, North Rhine-Westphalia, Germany"
Jonas Mekas,"Semeniskiai, Lithuania"
Michel Hazanavicius,"Paris, France"
Tom Hooper,"London, England, UK"
Jean-Marc Vallée,"Montreal, Quebec, Canada"
Naji Abou Nowar,"Oxford, Oxfordshire, England, UK"
Bahman Ghobadi,"Baneh, Iran"
James Marsch,NaN
Rachid Bouchareb,"Paris, France"
Andrzej Zulawski,"Lwów, Lwowskie, Poland [now Lviv, Ukraine]"
François Ozon,"Paris, France"
Corneliu Porumboiu,"Vaslui, Romania"
Jeff Tremaine,NaN
Peter Mullan,"Peterhead, Scotland, UK"
David Wain,"Shaker Heights, Ohio, USA"
Robert Zemeckis,"Chicago, Illinois, USA"
Satoshi Kon,"Sapporo, Hokkaido, Japan"
Terry George,"Belfast, Northern Ireland, UK"
Debra Granik,"Cambridge, Massachusetts, USA"
Duncan Jones,"Bromley, Kent, England, UK"
Agnès Jaoui,"Antony, Hauts-de-Seine, France"
Andrew Dominik,"Wellington, New Zealand"
Peter Jackson,"Pukerua Bay, North Island, New Zealand"
Nouri Bouzid,NaN
Rehad Desai,NaN
Mohamed Diab,"Ismailia, Egypt"
Oliver Schmitz,"Cape Town, South Africa"
Tom McCarthy,"New Providence, New Jersey, USA"
Dror Moreh,NaN
Mark Neveldine and Brian Taylor,NaN
Mark Neveldine and Brian Taylor,NaN
Patricio Guzmán,"Santiago, Chile"
Víctor Erice,"Karrantza, Vizcaya, País Vasco, Spain"
Stephen Chow,Hong Kong
Peter Tscherkassky,"Vienna, Austria"
Philippe Grandrieux,"Saint-Étienne, Loire, Rhône-Alpes, France"
Joseph Kahn,1972
Rita Azevedo Gomes,NaN
Sidney Lumet,"Philadelphia, Pennsylvania, USA"
Woody Allen,"Bronx, New York City, New York, USA"
Alain Resnais,"Vannes, Morbihan, France"
Manoel de Oliveira,"Oporto, Portugal"
Michelangelo Antonioni,"Ferrara, Emilia-Romagna, Italy"
Charles Burnett,"Vicksburg, Mississippi, USA"
John Cameron Mitchell,"El Paso, Texas, USA"
Kinji Fukasaku,"Mito, Japan"
André Singer,NaN
Christopher Guest,"New York City, New York, USA"
Wolfgang Becker,"Hemer, North Rhine-Westphalia, Germany"
Uli Edel,"Neuenburg am Rhein, Germany"
Nick Cassavetes,"New York City, New York, USA"
Jason Reitman,"Montreal, Quebec, Canada"
Ben Stiller,"New York City, New York, USA"
Stephen Frears,"Leicester, Leicestershire, England, UK"
Bart Layton,NaN
Ana Lily Amirpour,"Margate, Kent, England, UK"
S. Craig Zahler,"Miami, Florida, USA"
Luke Fowler,NaN
Terence Davies,"Liverpool, England, UK"
Steven Knight,"Marlborough, England, UK"
Cary Joji Fukunaga,"Oakland, California, USA"
James Marsh,"Truro, Cornwall, England, UK"
Ben Rivers,"Somerset, England, UK"
Pietro Marcello,"Caserta, Campania, Italy"
Naomi Kawase,"Nara, Japan"
Francis Ford Coppola,"Detroit, Michigan, USA"
João Pedro Rodrigues,"Lisbon, Portugal"
Nina Paley,"Champaign, Illinois, USA"
Gurinder Chadha,"Nairobi, Kenya"
Hany Abu-Assad,"Nazareth, Israel"
Sam Mendes,"Reading, Berkshire, England, UK"
Peter Weir,"Sydney, New South Wales, Australia"
"Pete Docter, David Silverman and Lee Unkrich",NaN
